"","drugs","rank.inact","rank.act","score"
"1","BRD4132",257,170,427
"2","BRD6340",167,433,600
"3","BRD9876",236,185,421
"4","TACROLIMUS",160,254,414
"5","IC-87114",300,10,310
"6","AM-580",233,55,288
"7","NSC30930",147,111,258
"8","CID-5951923",240,448,688
"9","GW-843682X",296,137,433
"10","TEMOZOLOMIDE",265,27,292
"11","NILOTINIB",339,22,361
"12","CI-976",196,58,254
"13","KI8751",231,121,352
"14","OXALIPLATIN",319,297,616
"15","L-685458",342,66,408
"16","16-BETA-BROMOANDROSTERONE",229,279,508
"17","PANDACOSTAT",72,162,234
"18","BRD-K85133207",3,228,231
"19","ERISMODEGIB",260,275,535
"20","QUIZARTINIB",413,115,528
"21","BRD-K48477130",408,186,594
"22","GSK4112",277,232,509
"23","TRETINOIN:NAVITOCLAX (4:1 MOL/MOL)",390,376,766
"24","PALMOSTATIN B",217,145,362
"25","BRD-K99006945",107,159,266
"26","ISTRADEFYLLINE",416,205,621
"27","BRD-K42260513",370,126,496
"28","BCL-LZH-4",434,108,542
"29","PF-4800567 HYDROCHLORIDE",385,273,658
"30","AC55649",69,53,122
"31","NINTEDANIB",353,392,745
"32","BRD8899",220,183,403
"33","SZ4TA2",435,82,517
"34","BRD-A05715709",414,84,498
"35","AZACITIDINE",372,406,778
"36","SIROLIMUS",205,48,253
"37","DOCETAXEL",362,321,683
"38","TRAMETINIB",282,11,293
"39","DABRAFENIB",338,16,354
"40","NPC-26",324,37,361
"41","PLATIN",365,285,650
"42","ISONICOTINOHYDROXAMIC ACID",287,79,366
"43","LEPTOMYCIN B",50,59,109
"44","SU11274",405,214,619
"45","DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)",361,122,483
"46","JW-480",259,200,459
"47","CBB-1007",242,184,426
"48","CR-1-31B",228,77,305
"49","BORTEZOMIB",318,225,543
"50","ISOEVODIAMINE",433,188,621
"51","NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)",209,289,498
"52","DINACICLIB",430,45,475
"53","GEMCITABINE",106,231,337
"54","SNX-2112",388,30,418
"55","LENVATINIB",336,224,560
"56","BRD-K71781559",341,57,398
"57","PARBENDAZOLE",407,94,501
"58","ML006",337,393,730
"59","YM-155",360,75,435
"60","GMX-1778",258,60,318
"61","COMPOUND 1541A",429,52,481
"62","TANESPIMYCIN",212,71,283
"63","PLX-4032",270,128,398
"64","LBH-589",387,236,623
"65","KX2-391",173,24,197
"66","TAMATINIB",426,313,739
"67","NVP-BEZ235",268,28,296
"68","DAPORINAD",386,85,471
"69","SR-II-138A",292,12,304
"70","NSC19630",428,134,562
"71","VINCRISTINE",423,276,699
"72","VELIPARIB",427,178,605
"73","BREFELDIN A",327,3,330
"74","PLURIPOTIN",186,148,334
"75","TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)",392,110,502
"76","BRD-K50799972",383,21,404
"77","TRIPTOLIDE",201,106,307
"78","AZD8055",432,89,521
"79","TANESPIMYCIN:GEMCITABINE (1:1 MOL/MOL)",410,131,541
"80","ALVOCIDIB",399,35,434
"81","NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)",431,25,456
"82","KH-CB19",250,351,601
"83","RIGOSERTIB",303,113,416
"84","BI-2536",422,299,721
"85","BRD-K90370028",424,31,455
"86","PD318088",286,154,440
"87","THALIDOMIDE",425,2,427
"88","AGK-2",420,290,710
"89","NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)",397,215,612
"90","MK-1775",331,70,401
"91","OMACETAXINE MEPESUCCINATE",395,190,585
"92","CLOFARABINE",376,80,456
"93","ML210",384,255,639
"94","ZSTK474",348,312,660
"95","AZD7762",378,294,672
"96","BRD-A71883111",398,138,536
"97","NAVITOCLAX",357,143,500
"98","DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)",411,192,603
"99","AZ-3146",352,384,736
"100","BRD-K37390332",346,144,490
"101","ITRACONAZOLE",241,394,635
"102","MLN2238",400,201,601
"103","SB-743921",391,15,406
"104","PRL-3 INHIBITOR I",315,209,524
"105","SNS-032",275,72,347
"106","SEMAGACESTAT",381,117,498
"107","SELUMETINIB:PIPERLONGUMINE (8:1 MOL/MOL)",320,411,731
"108","MANUMYCIN A",302,416,718
"109","HYPERFORIN",406,388,794
"110","BRD-K33199242",379,132,511
"111","UNC0321",344,5,349
"112","BRD-K28456706",393,33,426
"113","SELUMETINIB",377,342,719
"114","SELUMETINIB:PLX-4032 (8:1 MOL/MOL)",177,277,454
"115","BRD-K17060750",335,104,439
"116","MK-0752",402,266,668
"117","NAKITERPIOSIN",309,204,513
"118","CYTARABINE HYDROCHLORIDE",312,165,477
"119","COMPOUND 1B",382,26,408
"120","MYRICETIN",364,418,782
"121","DOXORUBICIN",284,100,384
"122","BRD-K11533227",418,366,784
"123","TOPOTECAN",404,280,684
"124","IU1",396,139,535
"125","ALISERTIB:NAVITOCLAX (2:1 MOL/MOL)",332,261,593
"126","C6-CERAMIDE",415,7,422
"127","PI-103",412,149,561
"128","SGX-523",367,345,712
"129","SELUMETINIB:UNC0638 (4:1 MOL/MOL)",247,397,644
"130","JQ-1",403,288,691
"131","SELUMETINIB:TRETINOIN (2:1 MOL/MOL)",185,146,331
"132","BRD-K07442505",75,324,399
"133","BRD-A02303741",199,193,392
"134","AT13387",232,346,578
"135","REPLIGEN 136",409,4,413
"136","SELUMETINIB:BRD-A02303741 (4:1 MOL/MOL)",249,92,341
"137","SELUMETINIB:NAVITOCLAX (8:1 MOL/MOL)",401,260,661
"138","ABT-199",159,234,393
"139","BIRINAPANT",313,64,377
"140","ML083",371,196,567
"141","TRIAZOLOTHIADIAZINE",322,142,464
"142","DECITABINE",248,151,399
"143","NELARABINE",373,129,502
"144","BRD-A02303741:CARBOPLATIN (1:1 MOL/MOL)",294,164,458
"145","OUABAIN",354,91,445
"146","SELUMETINIB:DECITABINE (4:1 MOL/MOL)",288,430,718
"147","SB-431542",375,63,438
"148","TRETINOIN:CARBOPLATIN (2:1 MOL/MOL)",133,158,291
"149","SELUMETINIB:GDC-0941 (4:1 MOL/MOL)",273,318,591
"150","YL54",306,222,528
"151","GSK2636771",74,42,116
"152","FQI-2",347,271,618
"153","GDC-0879",191,157,348
"154","NARCICLASINE",333,233,566
"155","BRD-A86708339",152,227,379
"156","PIFITHRIN-ALPHA",369,223,592
"157","SELUMETINIB:JQ-1 (4:1 MOL/MOL)",113,123,236
"158","SNX-2112:BORTEZOMIB (250:1 MOL/MOL)",301,19,320
"159","JQ-1:NAVITOCLAX (2:1 MOL/MOL)",267,198,465
"160","NECROSTATIN-7",182,259,441
"161","3-CL-AHPC",266,341,607
"162","CAY10618",112,38,150
"163","JQ-1:CARBOPLATIN (1:1 MOL/MOL)",321,301,622
"164","IMPORTAZOLE",180,314,494
"165","PLX-4720",168,340,508
"166","MITOMYCIN",389,425,814
"167","CD-437",299,350,649
"168","NAVITOCLAX:PLX-4032 (1:1 MOL/MOL)",359,268,627
"169","SIROLIMUS:BORTEZOMIB (250:1 MOL/MOL)",211,424,635
"170","CUCURBITACIN I",246,23,269
"171","SELUMETINIB:MK-2206 (8:1 MOL/MOL)",188,298,486
"172","NICLOSAMIDE",298,210,508
"173","XL765",95,257,352
"174","MDIVI-1",65,292,357
"175","OBATOCLAX",216,249,465
"176","ETOPOSIDE",184,47,231
"177","JQ-1:MK-0752 (1:1 MOL/MOL)",117,256,373
"178","BRD-A02303741:NAVITOCLAX (2:1 MOL/MOL)",279,161,440
"179","GANT-61",305,242,547
"180","BLEOMYCIN A2",126,127,253
"181","STF-31",215,6,221
"182","SILMITASERTIB",45,389,434
"183","RITA",366,189,555
"184","PF-3758309",244,56,300
"185","PITSTOP2",183,119,302
"186","MST-312",144,361,505
"187","FUMONISIN B1",323,36,359
"188","ERLOTINIB:PLX-4032 (2:1 MOL/MOL)",368,330,698
"189","DECITABINE:CARBOPLATIN (1:1 MOL/MOL)",114,44,158
"190","VU0155056",102,199,301
"191","ALISERTIB",132,304,436
"192","YK 4-279",285,245,530
"193","SERDEMETAN:SCH-529074 (1:1 MOL/MOL)",272,419,691
"194","NAVITOCLAX:MST-312 (1:1 MOL/MOL)",334,168,502
"195","DACARBAZINE",255,250,505
"196","CRIZOTINIB:PLX-4032 (2:1 MOL/MOL)",351,287,638
"197","ENTINOSTAT",111,179,290
"198","ISOX:BORTEZOMIB (250:1 MOL/MOL)",263,316,579
"199","I-BET151",172,17,189
"200","BRD-K63431240",141,344,485
"201","OSI-027",139,387,526
"202","VAF-347",162,166,328
"203","BRD-K51831558",116,423,539
"204","BRD-K70511574",328,105,433
"205","GDC-0941",127,269,396
"206","CYTOCHALASIN B",150,331,481
"207","LY-2183240",193,240,433
"208","GSK525762A",124,263,387
"209","KPT185",57,336,393
"210","KU-0063794",37,352,389
"211","VER-155008",115,335,450
"212","ML258",169,258,427
"213","UNC0638:NAVITOCLAX (1:1 MOL/MOL)",142,326,468
"214","HC-067047",161,218,379
"215","CICLOPIROX",311,68,379
"216","BRD1812",195,152,347
"217","BELINOSTAT",190,229,419
"218","BMS-754807",146,309,455
"219","NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)",128,400,528
"220","PIPERLONGUMINE:MST-312 (1:1 MOL/MOL)",170,208,378
"221","ZEBULARINE",304,187,491
"222","DECITABINE:NAVITOCLAX (2:1 MOL/MOL)",100,412,512
"223","CARBOPLATIN:ETOPOSIDE (40:17 MOL/MOL)",226,375,601
"224","TANDUTINIB",262,219,481
"225","ERLOTINIB",156,383,539
"226","NVP-231",283,353,636
"227","WZ4002",91,81,172
"228","NVP-TAE684",293,359,652
"229","FORETINIB",30,156,186
"230","FLUVASTATIN",230,173,403
"231","SCH-529074",163,409,572
"232","COL-3",330,295,625
"233","HBX-41108",110,368,478
"234","NVP-ADW742",109,385,494
"235","FLUOROURACIL",194,315,509
"236","R428",137,76,213
"237","BMS-536924",219,302,521
"238","CEDIRANIB",11,265,276
"239","PAC-1",254,293,547
"240","BEXAROTENE",64,320,384
"241","BRD-K19103580",281,362,643
"242","GSK1059615",119,356,475
"243","GEFITINIB",58,405,463
"244","SRT-1720",12,96,108
"245","CHIR-99021",158,333,491
"246","BRD-K66453893",325,171,496
"247","BRD-K94991378",63,407,470
"248","AFATINIB",101,49,150
"249","CRIZOTINIB",79,239,318
"250","LINSITINIB",36,54,90
"251","PHA-793887",88,378,466
"252","ML311",77,253,330
"253","PF-184",93,399,492
"254","APICIDIN",48,307,355
"255","IPR-456",394,317,711
"256","BOSUTINIB",197,371,568
"257","BRD-K41597374",66,417,483
"258","VORAPAXAR",44,86,130
"259","PIPERLONGUMINE",154,177,331
"260","SB-225002",192,282,474
"261","BMS-345541",51,379,430
"262","VORINOSTAT",138,141,279
"263","PIFITHRIN-MU",122,420,542
"264","PYRAZOLANTHRONE",153,176,329
"265","BRD-K64610608",218,155,373
"266","ISOX",130,29,159
"267","PROCHLORPERAZINE",155,194,349
"268","NAVITOCLAX:PIPERLONGUMINE (1:1 MOL/MOL)",340,381,721
"269","BRD-K71935468",271,169,440
"270","NECROSULFONAMIDE",125,230,355
"271","BRD-K29313308",121,88,209
"272","SB-525334",135,380,515
"273","KU 0060648",203,248,451
"274","UNC0638",225,74,299
"275","LOVASTATIN",103,372,475
"276","NERATINIB",171,216,387
"277","BIX-01294",179,438,617
"278","TIVOZANIB",178,365,543
"279","NSC632839",208,274,482
"280","JQ-1:VORINOSTAT (2:1 MOL/MOL)",26,367,393
"281","FINGOLIMOD",67,322,389
"282","CERANIB-2",145,391,536
"283","BRD-K45681478",16,442,458
"284","PEVONEDISTAT",78,180,258
"285","CHM-1",165,202,367
"286","JQ-1:UNC0638 (2:1 MOL/MOL)",76,319,395
"287","AZD7545",86,221,307
"288","DBEQ",276,355,631
"289","MK-2206",187,434,621
"290","GOSSYPOL",214,114,328
"291","NVP-BSK805",164,217,381
"292","BRD-K92856060",151,437,588
"293","SALERMIDE:PLX-4032 (12:1 MOL/MOL)",94,395,489
"294","VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL)",108,370,478
"295","WP1130",297,124,421
"296","CAY10594",10,328,338
"297","OLAPARIB",27,101,128
"298","HLI 373",70,364,434
"299","TG-101348",143,247,390
"300","TACEDINALINE",22,262,284
"301","SERDEMETAN",15,40,55
"302","AVICIN D",89,67,156
"303","TRIFLUOPERAZINE",59,252,311
"304","TW-37",55,87,142
"305","PARTHENOLIDE",316,246,562
"306","BAX CHANNEL BLOCKER",17,429,446
"307","TIVANTINIB",261,69,330
"308","MOMELOTINIB",227,377,604
"309","PF-750",134,212,346
"310","ETP-46464",21,140,161
"311","CCT036477",237,20,257
"312","AA-COCF3",207,163,370
"313","AT7867",149,447,596
"314","LRRK2-IN-1",9,349,358
"315","PIK-93",105,441,546
"316","GSK-3 INHIBITOR IX",243,382,625
"317","PF-573228",239,267,506
"318","NEURONAL DIFFERENTIATION INDUCER III",235,150,385
"319","CURCUMIN",29,95,124
"320","DASATINIB",222,167,389
"321","AXITINIB",62,283,345
"322","NSC95397",198,291,489
"323","MERCK60",252,32,284
"324","ML029",264,422,686
"325","DEXAMETHASONE",83,9,92
"326","LAPATINIB",174,281,455
"327","ML162",82,300,382
"328","METHYLSTAT",99,51,150
"329","SID 26681509",329,14,343
"330","STEMREGENIN 1",71,147,218
"331","LINIFANIB",7,235,242
"332","SUNITINIB",374,415,789
"333","BRD-K51490254",54,50,104
"334","BARASERTIB",181,78,259
"335","BRD-K61166597",84,244,328
"336","MGCD-265",92,432,524
"337","BRIVANIB",206,8,214
"338","IBRUTINIB",13,339,352
"339","BRD-K02251932",47,153,200
"340","O-6-BENZYLGUANINE",176,296,472
"341","BRD-K97651142",32,426,458
"342","MASITINIB",61,332,393
"343","KW-2449",118,338,456
"344","TOSEDOSTAT",20,427,447
"345","ELOCALCITOL",40,46,86
"346","AZD6482",49,334,383
"347","NSC48300",291,386,677
"348","LOMEGUATRIB",39,446,485
"349","VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL)",4,440,444
"350","BRD-K34222889",166,348,514
"351","LE-135",355,18,373
"352","CERULENIN",123,174,297
"353","GW-405833",41,305,346
"354","PAZOPANIB",87,211,298
"355","TG-100-115",81,363,444
"356","KU-55933",157,213,370
"357","INDISULAM",33,439,472
"358","SARACATINIB",269,97,366
"359","BRD-M00053801",280,278,558
"360","SOTRASTAURIN",14,347,361
"361","IMATINIB",52,116,168
"362","BRD9647",35,445,480
"363","BRD-K13999467",31,195,226
"364","BRD-K88742110",24,303,327
"365","PDMP",43,360,403
"366","WZ8040",295,251,546
"367","SKEPINONE-L",98,358,456
"368","KU-60019",120,93,213
"369","PX-12",23,404,427
"370","BRD-K26531177",148,390,538
"371","NUTLIN-3",73,90,163
"372","ML239",129,408,537
"373","BRD-K35604418",6,369,375
"374","AVRAINVILLAMIDE",136,112,248
"375","BYL-719",307,343,650
"376","BRD-K24690302",202,226,428
"377","BRD-K14844214",34,306,340
"378","BRD-K80183349",8,107,115
"379","BRD1835",238,102,340
"380","ML203",1,323,324
"381","CAL-101",189,354,543
"382","RG-108",28,272,300
"383","CHLORAMBUCIL",343,431,774
"384","EPIGALLOCATECHIN-3-MONOGALLATE",2,206,208
"385","ETOMOXIR",140,175,315
"386","AZD1480",68,413,481
"387","ML050",38,435,473
"388","KO-143",253,109,362
"389","NSC23766",53,410,463
"390","N9-ISOPROPYLOLOMOUCINE",274,443,717
"391","SKI-II",131,1,132
"392","VALDECOXIB",42,130,172
"393","TGX-221",223,237,460
"394","A-804598",256,172,428
"395","NECROSTATIN-1",326,160,486
"396","SILDENAFIL",204,357,561
"397","PURMORPHAMINE",356,310,666
"398","TRETINOIN",350,308,658
"399","BETULINIC ACID",213,133,346
"400","TAMOXIFEN",308,103,411
"401","ERASTIN",310,444,754
"402","B02",60,436,496
"403","BRD-K66532283",317,118,435
"404","ABT-737",56,311,367
"405","OLIGOMYCIN A",90,220,310
"406","AUSTOCYSTIN D",210,98,308
"407","SJ-172550",25,61,86
"408","TIPIFARNIB-P1",200,13,213
"409","BIBR-1532",97,238,335
"410","BRD8958",345,327,672
"411","BRD-K04800985",251,243,494
"412","BRD-K55116708",18,62,80
"413","1S,3R-RSL-3",380,197,577
"414","SALERMIDE",363,270,633
"415","REGORAFENIB",349,329,678
"416","ML334 DIASTEREOMER",417,34,451
"417","SPAUTIN-1",278,373,651
"418","ML320",175,41,216
"419","CH-55",419,286,705
"420","BMS-195614",234,284,518
"421","BMS-270394",96,39,135
"422","WAY-362450",224,264,488
"423","BRD-K03536150",314,403,717
"424","MLN2480",289,325,614
"425","MI-2",245,203,448
